level_type,entry_level,entry_time,exit_time,tp,sl,outcome,pnl,pending_id,order_created
support,68.29,2024-12-05 06:41:00,2024-12-05 08:54:00,69.08000000000001,67.5,tp,68.63199999999955,1,2024-12-04 07:14:00
support,68.01,2024-12-06 04:00:00,2024-12-06 04:06:00,68.15,67.87,tp,7.2959999999991965,5,2024-12-06 00:12:00
support,67.91,2024-12-06 05:05:00,2024-12-06 05:06:00,67.96,67.86,tp,0.2999999999993008,7,2024-12-06 04:00:00
support,67.91,2024-12-09 04:48:00,2024-12-09 05:01:00,67.96,67.86,tp,0.2639999999993847,9,2024-12-09 03:13:00
resistance,68.42,2024-12-09 08:53:00,2024-12-09 08:53:00,68.33,68.51,tp,2.8059999999995284,10,2024-12-09 03:25:00
support,68.29,2024-12-09 14:43:00,2024-12-09 15:03:00,68.37,68.21000000000001,sl,-6.076000000000462,13,2024-12-09 09:50:00
support,68.01,2024-12-09 23:55:00,2024-12-10 03:04:00,68.15,67.87,tp,6.335999999999302,11,2024-12-09 08:51:00
resistance,68.42,2024-12-10 04:00:00,2024-12-10 04:00:00,68.33,68.51,tp,2.6679999999995516,17,2024-12-10 03:17:00
support,68.1,2024-12-10 04:32:00,2024-12-10 04:59:00,68.19999999999999,68.0,tp,3.863999999998839,18,2024-12-10 03:23:00
support,68.01,2024-12-10 05:29:00,2024-12-10 05:29:00,68.05000000000001,67.97,tp,-0.15200000000018576,16,2024-12-10 02:53:00
support,67.91,2024-12-10 05:54:00,2024-12-10 05:54:00,67.96,67.86,sl,-3.760000000000332,15,2024-12-10 01:25:00
support,68.29,2024-12-10 09:37:00,2024-12-10 09:42:00,68.37,68.21000000000001,tp,1.5839999999994347,20,2024-12-10 09:02:00
resistance,69.47,2024-12-11 06:47:00,2024-12-11 09:39:00,69.27,69.67,tp,11.387999999999394,21,2024-12-11 00:52:00
resistance,70.37,2024-12-11 14:20:00,2024-12-11 14:20:00,70.30000000000001,70.44,tp,1.5339999999989402,24,2024-12-11 14:07:00
resistance,70.53,2024-12-12 00:53:00,2024-12-12 00:55:00,70.45,70.61,tp,2.339999999999165,25,2024-12-12 00:30:00
resistance,70.23,2024-12-11 13:51:00,2024-12-12 03:41:00,69.85000000000001,70.61,sl,-33.92000000000053,22,2024-12-11 06:47:00
resistance,70.37,2024-12-12 06:06:00,2024-12-12 06:06:00,70.30000000000001,70.44,tp,1.40399999999903,26,2024-12-12 06:00:00
resistance,69.47,2024-12-12 10:30:00,2024-12-12 10:30:00,69.42,69.52,tp,0.2579999999993987,29,2024-12-12 10:06:00
resistance,69.37,2024-12-12 11:17:00,2024-12-12 11:17:00,69.28,69.46000000000001,tp,3.0359999999994898,30,2024-12-12 11:08:00
resistance,70.37,2024-12-13 02:59:00,2024-12-13 03:00:00,70.30000000000001,70.44,tp,1.40399999999903,31,2024-12-13 02:38:00
resistance,70.23,2024-12-12 12:08:00,2024-12-13 05:12:00,69.85000000000001,70.61,sl,-30.95200000000048,28,2024-12-12 10:05:00
resistance,70.72,2024-12-13 05:45:00,2024-12-13 06:02:00,70.55,70.89,sl,-16.906000000001015,32,2024-12-13 04:42:00
resistance,70.72,2024-12-16 08:06:00,2024-12-16 09:01:00,70.55,70.89,sl,-14.552000000000874,35,2024-12-16 06:17:00
resistance,70.93,2024-12-16 09:02:00,2024-12-16 09:16:00,70.82000000000001,71.04,sl,-10.472000000000719,34,2024-12-16 03:45:00
resistance,70.37,2024-12-17 00:46:00,2024-12-17 00:50:00,70.30000000000001,70.44,sl,-5.244000000000199,37,2024-12-17 00:02:00
resistance,69.47,2024-12-17 07:34:00,2024-12-17 07:39:00,69.42,69.52,sl,-3.6660000000003237,41,2024-12-17 07:32:00
resistance,69.37,2024-12-17 09:47:00,2024-12-17 09:48:00,69.28,69.46000000000001,tp,2.759999999999536,42,2024-12-17 09:39:00
support,69.75,2024-12-17 03:31:00,2024-12-17 10:22:00,70.4,69.1,sl,-48.58000000000118,33,2024-12-16 03:25:00
resistance,70.23,2024-12-18 04:01:00,2024-12-18 04:52:00,70.07000000000001,70.39,tp,4.407999999999447,44,2024-12-18 02:18:00
resistance,70.37,2024-12-18 07:51:00,2024-12-18 07:51:00,70.30000000000001,70.44,tp,0.8059999999994432,45,2024-12-18 04:01:00
resistance,70.54,2024-12-18 09:37:00,2024-12-18 09:37:00,70.45,70.63000000000001,tp,2.9439999999995052,46,2024-12-18 07:51:00
resistance,70.72,2024-12-18 11:11:00,2024-12-18 11:11:00,70.63,70.81,tp,2.207999999999629,47,2024-12-18 09:37:00
support,69.62,2024-12-18 15:11:00,2024-12-18 15:18:00,69.68,69.56,tp,0.9119999999994945,43,2024-12-18 00:15:00
support,69.62,2024-12-19 02:16:00,2024-12-19 02:24:00,69.68,69.56,sl,-5.720000000000738,54,2024-12-19 01:36:00
resistance,69.47,2024-12-19 03:25:00,2024-12-19 03:25:00,69.42,69.52,tp,0.16799999999960846,55,2024-12-19 03:09:00
resistance,69.91,2024-12-19 04:08:00,2024-12-19 05:27:00,69.69,70.13,sl,-20.59200000000078,52,2024-12-19 00:17:00
support,69.75,2024-12-18 14:58:00,2024-12-19 08:39:00,70.27,69.23,tp,24.751999999999214,49,2024-12-18 11:12:00
resistance,70.23,2024-12-19 08:36:00,2024-12-19 08:44:00,70.07000000000001,70.39,sl,-7.344000000000278,56,2024-12-19 04:08:00
resistance,70.37,2024-12-19 08:44:00,2024-12-19 08:54:00,70.30000000000001,70.44,sl,-3.3060000000001253,57,2024-12-19 08:36:00
resistance,70.54,2024-12-19 09:09:00,2024-12-19 09:16:00,70.45,70.63000000000001,tp,2.8519999999995207,58,2024-12-19 08:44:00
support,68.81,2024-12-20 04:02:00,2024-12-20 05:02:00,69.0,68.62,sl,-16.61400000000063,61,2024-12-20 01:38:00
support,68.45,2024-12-20 06:58:00,2024-12-20 07:05:00,68.63000000000001,68.27,tp,4.487999999999857,63,2024-12-20 04:02:00
