level_type,entry_level,entry_time,exit_time,tp,sl,outcome,pnl,pending_id,order_created
support,69.87,2024-10-15 05:59:00,2024-10-15 07:30:00,70.7,69.04,tp,74.66999999999878,31,2024-10-15 00:03:00
resistance,71.1,2024-10-16 03:14:00,2024-10-16 03:14:00,71.08,71.11999999999999,tp,-0.5280000000003326,35,2024-10-16 03:08:00
resistance,71.05,2024-10-16 03:08:00,2024-10-16 03:20:00,70.89,71.21,sl,-11.424000000000433,34,2024-10-16 01:34:00
support,69.71,2024-10-16 11:15:00,2024-10-16 11:15:00,69.78999999999999,69.63,tp,2.303999999999178,37,2024-10-16 11:08:00
support,69.64,2024-10-17 13:07:00,2024-10-17 13:07:00,69.76,69.52,sl,-11.972000000001145,39,2024-10-17 13:06:00
support,69.64,2024-10-18 06:51:00,2024-10-18 06:59:00,69.76,69.52,tp,5.471999999999525,40,2024-10-18 06:03:00
support,69.87,2024-10-21 06:23:00,2024-10-21 06:27:00,69.93,69.81,sl,-4.368000000000563,42,2024-10-21 06:21:00
support,69.64,2024-10-21 10:07:00,2024-10-21 10:07:00,69.76,69.52,tp,5.167999999999552,41,2024-10-21 05:54:00
support,69.75,2024-10-22 00:41:00,2024-10-22 01:48:00,69.81,69.69,sl,-5.928000000000765,43,2024-10-22 00:02:00
support,69.64,2024-10-22 03:02:00,2024-10-22 03:02:00,69.69,69.59,tp,0.27599999999935676,44,2024-10-22 00:41:00
resistance,70.73,2024-10-22 05:27:00,2024-10-22 05:27:00,70.54,70.92,tp,9.489999999999128,45,2024-10-22 05:21:00
resistance,71.05,2024-10-22 09:55:00,2024-10-22 09:55:00,70.89,71.21,sl,-11.220000000000425,38,2024-10-17 01:21:00
resistance,70.99,2024-10-22 09:55:00,2024-10-22 09:55:00,70.86,71.11999999999999,sl,-11.484000000000435,46,2024-10-22 05:27:00
support,71.53,2024-10-22 09:56:00,2024-10-22 09:56:00,71.59,71.47,tp,0.607999999999663,47,2024-10-22 09:55:00
resistance,71.1,2024-10-22 09:56:00,2024-10-22 09:56:00,71.08,71.11999999999999,sl,-1.0240000000001146,50,2024-10-22 09:55:00
resistance,71.05,2024-10-22 09:56:00,2024-10-22 09:56:00,71.02,71.08,sl,-1.5540000000002578,51,2024-10-22 09:55:00
resistance,71.84,2024-10-22 11:27:00,2024-10-22 15:48:00,71.47,72.21000000000001,tp,25.75399999999948,49,2024-10-22 09:55:00
support,71.53,2024-10-23 02:07:00,2024-10-23 02:08:00,71.59,71.47,sl,-3.8480000000004964,53,2024-10-23 00:24:00
resistance,71.1,2024-10-23 04:42:00,2024-10-23 04:42:00,71.08,71.11999999999999,tp,-0.3600000000002268,56,2024-10-23 04:41:00
resistance,71.05,2024-10-23 04:54:00,2024-10-23 04:54:00,71.02,71.08,tp,-0.2940000000002101,57,2024-10-23 04:53:00
support,70.38,2024-10-23 06:26:00,2024-10-23 09:09:00,70.96,69.8,tp,48.77599999999883,54,2024-10-23 02:07:00
resistance,70.73,2024-10-23 09:03:00,2024-10-23 09:09:00,70.54,70.92,sl,-13.806000000000523,60,2024-10-23 06:26:00
resistance,70.99,2024-10-23 09:09:00,2024-10-23 09:12:00,70.86,71.11999999999999,tp,5.58999999999898,58,2024-10-23 06:17:00
support,71.53,2024-10-24 02:03:00,2024-10-24 02:11:00,71.59,71.47,tp,0.4959999999997251,61,2024-10-24 01:30:00
resistance,71.84,2024-10-24 03:08:00,2024-10-24 05:27:00,71.47,72.21000000000001,sl,-32.292000000001224,55,2024-10-23 04:10:00
resistance,71.1,2024-10-24 07:52:00,2024-10-24 07:52:00,71.08,71.11999999999999,sl,-0.768000000000086,66,2024-10-24 07:51:00
resistance,71.05,2024-10-24 08:01:00,2024-10-24 08:01:00,71.02,71.08,tp,-0.23800000000017008,67,2024-10-24 08:00:00
resistance,71.49,2024-10-24 09:35:00,2024-10-24 09:51:00,71.28999999999999,71.69,tp,12.323999999999344,65,2024-10-24 07:51:00
support,69.87,2024-10-24 12:08:00,2024-10-24 12:08:00,70.0,69.74000000000001,tp,2.149999999999608,70,2024-10-24 10:52:00
resistance,70.35,2024-10-24 14:43:00,2024-10-24 20:03:00,70.14,70.55999999999999,sl,-19.050000000000367,71,2024-10-24 12:08:00
resistance,70.55,2024-10-25 02:50:00,2024-10-25 03:00:00,70.45,70.64999999999999,tp,3.807999999998856,73,2024-10-25 01:29:00
resistance,70.73,2024-10-25 06:26:00,2024-10-25 06:42:00,70.64,70.82000000000001,tp,2.069999999999652,74,2024-10-25 02:50:00
support,70.13,2024-10-24 10:52:00,2024-10-25 07:14:00,70.83,69.42999999999999,tp,59.695999999999245,62,2024-10-24 02:03:00
resistance,70.99,2024-10-25 08:11:00,2024-10-25 08:17:00,70.86,71.11999999999999,tp,4.643999999999153,76,2024-10-25 06:26:00
resistance,71.05,2024-10-25 08:42:00,2024-10-25 08:42:00,71.02,71.08,tp,-0.18200000000013006,77,2024-10-25 08:11:00
resistance,71.1,2024-10-25 08:52:00,2024-10-25 08:52:00,71.08,71.11999999999999,tp,-0.28800000000018144,78,2024-10-25 08:44:00
resistance,71.84,2024-10-25 11:28:00,2024-10-25 11:28:00,71.66,72.02000000000001,tp,8.703999999999724,64,2024-10-24 06:52:00
resistance,71.49,2024-10-25 11:28:00,2024-10-25 11:28:00,71.28999999999999,71.69,sl,-18.30000000000105,79,2024-10-25 08:55:00
resistance,71.84,2024-10-25 11:29:00,2024-10-25 11:29:00,71.82000000000001,71.86,tp,-0.5280000000003326,81,2024-10-25 11:28:00
