level_type,entry_level,entry_time,exit_time,tp,sl,outcome,pnl,pending_id,order_created
resistance,71.64,2024-11-05 02:54:00,2024-11-05 03:00:00,71.58,71.7,sl,-5.928000000000765,0,2024-11-05 00:09:00
support,70.66,2024-11-06 01:06:00,2024-11-06 01:09:00,70.97999999999999,70.34,sl,-31.668000000000376,1,2024-11-05 22:15:00
support,70.36,2024-11-06 01:09:00,2024-11-06 01:15:00,70.51,70.21,tp,8.055999999999585,2,2024-11-06 01:06:00
support,70.66,2024-11-06 04:14:00,2024-11-06 04:20:00,70.97999999999999,70.34,sl,-31.668000000000376,3,2024-11-06 02:58:00
resistance,71.64,2024-11-06 10:12:00,2024-11-06 10:12:00,71.58,71.7,tp,0.8959999999995034,4,2024-11-06 10:07:00
resistance,71.64,2024-11-07 03:25:00,2024-11-07 03:25:00,71.58,71.7,tp,0.8639999999995212,7,2024-11-07 03:22:00
support,71.29,2024-11-07 03:49:00,2024-11-07 04:00:00,71.47000000000001,71.11,tp,10.335999999999672,5,2024-11-07 02:15:00
support,70.66,2024-11-07 06:46:00,2024-11-07 07:02:00,70.97999999999999,70.34,tp,23.18399999999849,8,2024-11-07 03:49:00
resistance,72.29,2024-11-07 12:11:00,2024-11-07 13:02:00,71.96000000000001,72.62,sl,-32.91200000000083,6,2024-11-07 02:15:00
support,71.65,2024-11-08 02:33:00,2024-11-08 03:04:00,71.80000000000001,71.5,sl,-14.356000000001245,9,2024-11-08 00:33:00
support,71.29,2024-11-08 03:10:00,2024-11-08 03:17:00,71.47000000000001,71.11,tp,10.06399999999968,10,2024-11-08 03:01:00
resistance,71.64,2024-11-08 06:36:00,2024-11-08 06:37:00,71.58,71.7,tp,0.8159999999995478,12,2024-11-08 03:04:00
support,70.36,2024-11-08 10:08:00,2024-11-08 10:08:00,70.51,70.21,tp,7.631999999999607,14,2024-11-08 10:01:00
support,70.66,2024-11-08 10:01:00,2024-11-08 10:10:00,70.97999999999999,70.34,sl,-29.848000000000354,13,2024-11-08 03:49:00
support,70.23,2024-11-08 10:16:00,2024-11-08 10:16:00,70.29,70.17,tp,0.8799999999995123,15,2024-11-08 10:10:00
support,70.23,2024-11-10 18:41:00,2024-11-10 18:53:00,70.29,70.17,sl,-5.720000000000738,18,2024-11-10 18:08:00
support,70.23,2024-11-11 02:20:00,2024-11-11 02:30:00,70.29,70.17,tp,0.8159999999995478,20,2024-11-11 01:32:00
